nome,origem,historia,pokemons_usados,insignias_ou_titulos,habilidades,familia,aparicoes
"Raihan,Galar,""Líder dragão e rival de Leon."",""Duraludon"",""Líder de Ginásio de Hammerlocke"",""Clima em batalha"",""Não revelado"",""Galar"""
"Brassius,Paldea,""Líder artista especializado em planta."",""Sudowoodo"",""Líder de Ginásio de Artazon"",""Arte escultural"",""Não revelado"",""Paldea"""
"Iono,Paldea,""Líder elétrica e influenciadora."",""Bellibolt"",""Líder de Ginásio de Levincia"",""Carisma online"",""Não revelado"",""Paldea"""
"Kofu,Paldea,""Líder de água e comerciante."",""Wugtrio; Crabominable"",""Líder de Ginásio de Cascarrafa"",""Negociação"",""Não revelado"",""Paldea"""
"Larry,Paldea,""Líder de Normal e membro da Elite 4."",""Staraptor; Komala"",""Líder de Ginásio de Medali"",""Trabalho duro"",""Não revelado"",""Paldea"""
"Ryme,Paldea,""Líder fantasma e rapper."",""Houndstone; Mimikyu"",""Líder de Ginásio de Montenevera"",""Ritmo e batalha"",""Irmã: Tyme"",""Paldea"""
"Tulip,Paldea,""Líder psíquica e modelo."",""Farigiraf; Espathra"",""Líder de Ginásio de Alfornada"",""Estilo e glamour"",""Não revelado"",""Paldea"""
"Grusha,Paldea,""Líder de gelo e ex-snowboarder."",""Cetitan"",""Líder de Ginásio de Glaseado"",""Controle emocional"",""Não revelado"",""Paldea"""
"Lorelei (Prima),Kanto,""Membro da Elite 4 de Kanto, especialista em gelo."",""Cloyster; Slowbro; Jynx"",""Elite 4 de Kanto"",""Estratégia defensiva"",""Não revelado"",""Kanto; Ilhas Laranja"""
"Bruno,Kanto,""Membro da Elite 4 especializado em lutadores."",""Machamp; Onix"",""Elite 4 de Kanto"",""Força física extrema"",""Não revelado"",""Kanto"""
"Agatha,Kanto,""Membro da Elite 4 especialista em fantasmas."",""Gengar"",""Elite 4 de Kanto"",""Experiência e intimidação"",""Não revelado"",""Kanto"""
"Drake,Hoenn,""Membro da Elite 4 de Hoenn, especialista em dragões."",""Salamence; Shelgon; Altaria"",""Elite 4 de Hoenn"",""Treinamento naval"",""Não revelado"",""Hoenn"""
"Aaron,Sinnoh,""Membro da Elite 4 de Sinnoh, especialista em insetos."",""Beautifly; Drapion"",""Elite 4 de Sinnoh"",""Empatia com insetos"",""Não revelado"",""Sinnoh"""
"Bertha,Sinnoh,""Membro da Elite 4 de Sinnoh, especialista em terra."",""Hippowdon; Golem"",""Elite 4 de Sinnoh"",""Experiência e calma"",""Não revelado"",""Sinnoh"""
"Flint,Sinnoh,""Membro da Elite 4 de Sinnoh, especialista em fogo."",""Infernape; Flareon"",""Elite 4 de Sinnoh"",""Energia e agressividade"",""Amigo de Volkner"",""Sinnoh"""
"Lucian,Sinnoh,""Membro da Elite 4 de Sinnoh, especialista em psíquicos."",""Bronzong; Girafarig"",""Elite 4 de Sinnoh"",""Leitura estratégica"",""Não revelado"",""Sinnoh"""
"Shauntal,Unova,""Membro da Elite 4 de Unova, escritora e especialista em fantasmas."",""Chandelure; Golurk"",""Elite 4 de Unova"",""Criatividade"",""Não revelado"",""Unova"""
"Grimsley,Unova,""Membro da Elite 4 de Unova, especialista em trevas."",""Bisharp; Liepard"",""Elite 4 de Unova"",""Apostas e estratégia"",""Família nobre"",""Unova"""
"Caitlin,Unova,""Membro da Elite 4 de Unova, especialista em psíquicos."",""Gothitelle; Reuniclus"",""Elite 4 de Unova"",""Poder psíquico"",""Não revelado"",""Unova"""
"Marshal,Unova,""Membro da Elite 4 de Unova, especialista em lutadores."",""Mienshao; Throh"",""Elite 4 de Unova"",""Treinamento marcial"",""Discípulo de Alder"",""Unova"""
"Malva,Kalos,""Membro da Elite 4 de Kalos e ex-membro da Team Flare."",""Pyroar; Houndoom"",""Elite 4 de Kalos"",""Carisma e fogo"",""Não revelado"",""Kalos"""
"Siebold,Kalos,""Membro da Elite 4 de Kalos, chef renomado."",""Clawitzer; Starmie"",""Elite 4 de Kalos"",""Culinária e estratégia"",""Não revelado"",""Kalos"""
"Wikstrom,Kalos,""Membro da Elite 4 de Kalos, cavaleiro moderno."",""Aegislash; Probopass"",""Elite 4 de Kalos"",""Defesa e honra"",""Não revelado"",""Kalos"""
"Drasna,Kalos,""Membro da Elite 4 de Kalos, especialista em dragões."",""Dragalge; Altaria"",""Elite 4 de Kalos"",""Gentileza e sabedoria"",""Não revelado"",""Kalos"""
"Olivia,Alola,""Membro da Elite 4 de Alola, especialista em rocha."",""Lycanroc; Probopass"",""Elite 4 de Alola"",""Força e estilo"",""Não revelado"",""Alola"""
"Acerola,Alola,""Membro da Elite 4 de Alola, especialista em fantasmas."",""Palossand; Drifblim"",""Elite 4 de Alola"",""Conexão espiritual"",""Parente de Nanu"",""Alola"""
"Kahili,Alola,""Membro da Elite 4 de Alola, golfista profissional."",""Toucannon; Skarmory"",""Elite 4 de Alola"",""Precisão"",""Família rica"",""Alola"""
"Molayne,Alola,""Membro da Elite 4 de Alola, especialista em aço."",""Metagross; Dugtrio de Alola"",""Elite 4 de Alola"",""Tecnologia"",""Primo de Sophocles"",""Alola"""
"Rika,Paldea,""Membro da Elite 4 de Paldea, especialista em terra."",""Clodsire; Whiscash"",""Elite 4 de Paldea"",""Calma e análise"",""Não revelado"",""Paldea"""
"Poppy,Paldea,""Membro da Elite 4 de Paldea, criança prodígio do tipo aço."",""Tinkaton; Corviknight"",""Elite 4 de Paldea"",""Criatividade"",""Pais não revelados"",""Paldea"""
"Larry,Paldea,""Membro da Elite 4 e Líder de Ginásio."",""Flamigo; Staraptor"",""Elite 4 de Paldea"",""Trabalho duro"",""Não revelado"",""Paldea"""
"Hassel,Paldea,""Membro da Elite 4 e professor de arte."",""Baxcalibur; Dragalge"",""Elite 4 de Paldea"",""Expressão artística"",""Não revelado"",""Paldea"""
"Lance,Kanto,""Campeão e membro da Elite 4, especialista em dragões, defensor da justiça."",""Dragonite; Gyarados; Aerodactyl"",""Campeão de Kanto/Johto; Elite 4"",""Estratégia aérea; combate a vilões"",""Não revelado"",""Kanto; Johto; Jornadas"""
"Steven Stone,Hoenn,""Campeão de Hoenn, colecionador de pedras raras e especialista em aço."",""Metagross; Aggron; Skarmory"",""Campeão de Hoenn"",""Mega Evolução; geologia"",""Pai: Presidente da Devon Corp."",""Hoenn; Jornadas"""
"Wallace,Hoenn,""Campeão e artista, especialista em Pokémon aquáticos."",""Milotic; Seaking; Whiscash"",""Campeão de Hoenn (anime)"",""Elegância e estilo"",""Não revelado"",""Hoenn"""
"Cynthia,Sinnoh,""Campeã de Sinnoh, uma das mais fortes do mundo, pesquisadora de mitos."",""Garchomp; Roserade; Spiritomb; Togekiss; Lucario"",""Campeã de Sinnoh"",""Estratégia avançada; conhecimento histórico"",""Não revelado"",""Sinnoh; Jornadas"""
"Alder,Unova,""Campeão de Unova, treinador experiente e mentor de muitos."",""Bouffalant; Accelgor"",""Campeão de Unova"",""Sabedoria e improviso"",""Neto não nomeado"",""Unova"""
"Iris,Dragon Village,""Ex-companheira de Ash que se torna Campeã de Unova."",""Haxorus; Dragonite; Excadrill"",""Campeã de Unova"",""Especialista em dragões"",""Não revelado"",""Unova; Jornadas"""
"Diantha,Kalos,""Campeã de Kalos e atriz famosa."",""Gardevoir (Mega); Gourgeist"",""Campeã de Kalos"",""Mega Evolução; atuação"",""Não revelado"",""Kalos; Jornadas"""
"Kukui,Alola,""Professor e criador da Liga Alola, luta como 'Royal Mask'."",""Incineroar; Braviary; Lucario"",""Fundador da Liga Alola"",""Combate profissional"",""Esposa: Professora Burnet"",""Alola"""
"Ash Ketchum,Pallet Town,""Após anos de jornada, vence o Torneio Mundial Pokémon."",""Pikachu; Lucario; Dragonite; Gengar; Sirfetch’d; Dracovish"",""Campeão Mundial Pokémon"",""Aura parcial; vínculo com Pokémon"",""Mãe: Delia"",""Jornadas"""
"Leon,Galar,""Campeão invicto de Galar, considerado o mais forte do mundo antes de Ash."",""Charizard (Gigantamax); Dragapult; Rillaboom"",""Campeão de Galar"",""Gigantamax; carisma"",""Irmão: Hop"",""Galar; Jornadas"""
"Geeta,Paldea,""Campeã de Paldea e presidente da Liga."",""Glimmora; Kingambit; Avalugg"",""Campeã de Paldea"",""Liderança"",""Não revelado"",""Paldea"""
"Nemona,Paldea,""Rival de Florian/Juliana no anime, campeã reconhecida."",""Pawmot; Meowscarada; Quaquaval"",""Campeã de Paldea (classe Mestre)"",""Treinamento intenso"",""Pais não revelados"",""Horizons"""
